2023-09-28 08:31:05,653.smoker_temp_producer.INFO --------------------------------------------------
2023-09-28 08:31:05,653.smoker_temp_producer.INFO Today is 2023-09-28 at 08:31 AM
2023-09-28 08:31:05,654.smoker_temp_producer.INFO Running on: posix Darwin 19.6.0
2023-09-28 08:31:05,654.smoker_temp_producer.INFO Python version:  3.11.4
2023-09-28 08:31:05,654.smoker_temp_producer.INFO Python path: /Users/ashleymersman/Desktop/Streaming/streaming_06_smartsmoker/.venv
2023-09-28 08:31:05,654.smoker_temp_producer.INFO Working dir: /Users/ashleymersman/Desktop/Streaming/streaming_06_smartsmoker
2023-09-28 08:31:05,654.smoker_temp_producer.INFO --------------------------------------------------
2023-09-28 08:31:05,823.smoker_temp_producer.INFO Header skipped
2023-09-28 08:44:35,966.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:33:10', '') to 03-food-B
2023-09-28 08:45:05,976.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:33:15', '106.2') to 01-smoker
2023-09-28 08:45:05,976.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:33:15', '') to 02-food-A
2023-09-28 08:45:05,977.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:33:15', '') to 03-food-B
2023-09-28 08:45:35,987.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:34:10', '103.5') to 01-smoker
2023-09-28 08:45:35,987.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:34:10', '') to 02-food-A
2023-09-28 08:45:35,988.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:34:10', '') to 03-food-B
2023-09-28 08:46:05,998.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:34:15', '103.5') to 01-smoker
2023-09-28 08:46:05,999.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:34:15', '') to 02-food-A
2023-09-28 08:46:05,999.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:34:15', '') to 03-food-B
2023-09-28 08:46:36,001.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:35:10', '105.3') to 01-smoker
2023-09-28 08:46:36,001.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:35:10', '') to 02-food-A
2023-09-28 08:46:36,001.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:35:10', '') to 03-food-B
2023-09-28 08:47:06,011.smoker_temp_producer.INFO  [x] Sent ('05/22/21 12:35:15', '105.3') to 01-smoker
2023-09-28 08:47:06,012.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:35:15', '') to 02-food-A
2023-09-28 08:47:06,012.smoker_temp_producer.INFO [x] Sent ('05/22/21 12:35:15', '') to 03-food-B
